Link_ID,From_Node_ID,To_Node_ID,Capacity,Length,Free_Speed,Lanes,Link_Type
1,2,3,9900,465.64,60.0,3,1
2,4,5,5400,131.97,40.0,2,3
3,6,7,950,38.89,20.0,1,5
4,7,6,950,38.89,20.0,1,5
5,8,9,950,93.98,20.0,1,5
6,9,8,950,93.98,20.0,1,5
7,8,10,950,94.88,20.0,1,5
8,10,8,950,94.88,20.0,1,5
9,11,12,950,132.19,20.0,1,5
10,12,11,950,132.19,20.0,1,5
11,13,14,950,104.74,20.0,1,5
12,14,13,950,104.74,20.0,1,5
13,13,15,950,106.62,20.0,1,5
14,15,13,950,106.62,20.0,1,5
15,16,17,950,106.15,20.0,1,5
16,17,16,950,106.15,20.0,1,5
17,11,18,950,384.75,20.0,1,5
18,18,11,950,384.75,20.0,1,5
19,16,19,950,104.77,20.0,1,5
20,19,16,950,104.77,20.0,1,5
21,20,21,950,105.92,20.0,1,5
22,21,20,950,105.92,20.0,1,5
23,20,22,950,104.8,20.0,1,5
24,22,20,950,104.8,20.0,1,5
25,11,23,950,202.54,20.0,1,5
26,23,11,950,202.54,20.0,1,5
27,24,25,950,19.77,20.0,1,5
28,25,24,950,19.77,20.0,1,5
29,26,27,950,106.47,20.0,1,5
30,27,26,950,106.47,20.0,1,5
31,26,28,950,102.96,20.0,1,5
32,28,26,950,102.96,20.0,1,5
33,29,30,950,99.2,20.0,1,5
34,30,29,950,99.2,20.0,1,5
35,29,31,950,95.05,20.0,1,5
36,31,29,950,95.05,20.0,1,5
37,24,32,950,76.87,20.0,1,5
38,32,24,950,76.87,20.0,1,5
41,33,34,950,75.79,20.0,1,5
42,34,33,950,75.79,20.0,1,5
43,33,35,950,69.71,20.0,1,5
44,35,33,950,69.71,20.0,1,5
45,32,36,950,109.95,20.0,1,5
46,36,32,950,109.95,20.0,1,5
47,37,38,950,76.96,20.0,1,5
48,32,39,950,215.84,20.0,1,5
49,39,32,950,215.84,20.0,1,5
50,40,41,950,74.48,20.0,1,5
51,41,40,950,74.48,20.0,1,5
52,40,42,950,73.92,20.0,1,5
53,42,40,950,73.92,20.0,1,5
54,43,44,5400,199.48,40.0,2,3
55,45,46,950,12.64,20.0,1,5
56,46,45,950,12.64,20.0,1,5
57,47,48,950,197.82,20.0,1,5
58,48,47,950,197.82,20.0,1,5
59,47,49,950,202.34,20.0,1,5
60,49,47,950,202.34,20.0,1,5
61,45,50,950,196.11,20.0,1,4
62,51,52,950,196.34,20.0,1,5
63,52,51,950,196.34,20.0,1,5
64,51,53,950,402.62,20.0,1,5
65,53,51,950,402.62,20.0,1,5
66,54,55,950,57.95,20.0,1,4
67,55,54,950,57.95,20.0,1,4
68,54,56,950,200.36,20.0,1,4
69,56,54,950,200.36,20.0,1,4
70,57,58,9900,42.84,60.0,3,1
71,57,59,950,116.6,20.0,1,4
72,58,60,9900,339.44,60.0,3,1
73,61,62,5400,89.75,40.0,2,3
74,62,61,5400,89.75,40.0,2,3
75,61,63,5400,107.73,40.0,2,3
76,63,61,5400,107.73,40.0,2,3
77,60,64,9900,419.39,60.0,3,1
78,65,66,5400,18.27,40.0,2,3
79,67,68,9900,294.79,60.0,3,1
80,67,69,9900,616.35,60.0,3,1
81,70,71,950,94.91,20.0,1,4
82,72,73,950,100.95,20.0,1,5
83,73,72,950,100.95,20.0,1,5
84,72,74,950,99.49,20.0,1,5
85,74,72,950,99.49,20.0,1,5
86,75,76,950,233.63,20.0,1,4
87,77,78,950,91.9,20.0,1,4
88,78,77,950,91.9,20.0,1,4
89,79,80,950,403.75,20.0,1,5
90,80,79,950,403.75,20.0,1,5
91,79,81,950,401.9,20.0,1,5
92,81,79,950,401.9,20.0,1,5
93,82,83,950,102.55,20.0,1,4
94,77,84,950,35.06,20.0,1,4
95,84,77,950,35.06,20.0,1,4
96,85,86,950,102.78,20.0,1,5
97,86,85,950,102.78,20.0,1,5
98,85,87,950,102.91,20.0,1,5
99,87,85,950,102.91,20.0,1,5
100,88,89,9900,393.65,60.0,3,1
101,90,91,950,104.66,20.0,1,5
102,91,90,950,104.66,20.0,1,5
103,90,92,950,100.72,20.0,1,5
104,92,90,950,100.72,20.0,1,5
105,93,94,9900,111.44,60.0,3,1
106,95,96,950,405.26,20.0,1,5
107,96,95,950,405.26,20.0,1,5
108,95,97,950,206.39,20.0,1,5
109,97,95,950,206.39,20.0,1,5
110,98,99,950,24.79,20.0,1,5
111,99,98,950,24.79,20.0,1,5
112,98,100,950,69.9,20.0,1,5
113,100,98,950,69.9,20.0,1,5
114,101,102,950,31.19,20.0,1,5
115,103,93,9900,411.65,60.0,3,1
116,104,105,950,99.48,20.0,1,4
117,106,103,9900,54.3,60.0,3,1
118,107,108,950,97.22,20.0,1,4
119,109,110,5400,96.78,40.0,2,3
120,111,112,950,151.39,20.0,1,4
121,106,113,950,34.91,20.0,1,4
122,114,115,950,94.49,20.0,1,4
125,116,117,9900,20.16,60.0,3,1
126,99,118,950,75.94,20.0,1,5
127,118,99,950,75.94,20.0,1,5
128,119,120,950,101.02,20.0,1,5
129,120,119,950,101.02,20.0,1,5
130,119,121,950,101.43,20.0,1,5
131,121,119,950,101.43,20.0,1,5
132,116,122,5400,98.96,40.0,2,3
133,123,124,950,104.73,20.0,1,5
134,124,123,950,104.73,20.0,1,5
135,123,125,950,103.18,20.0,1,5
136,125,123,950,103.18,20.0,1,5
137,126,127,950,105.58,20.0,1,5
138,127,126,950,105.58,20.0,1,5
139,128,116,9900,85.35,60.0,3,1
140,126,129,950,105.54,20.0,1,5
141,129,126,950,105.54,20.0,1,5
142,130,131,950,146.07,20.0,1,5
143,130,132,950,106.13,20.0,1,4
144,131,133,950,145.46,20.0,1,5
145,131,134,950,103.33,20.0,1,4
146,133,135,950,106.09,20.0,1,5
147,128,122,9900,147.62,60.0,3,1
148,133,136,950,147.06,20.0,1,5
149,136,137,950,105.98,20.0,1,4
150,136,138,950,146.36,20.0,1,5
151,138,139,950,146.11,20.0,1,5
152,138,140,950,105.46,20.0,1,5
153,140,138,950,105.46,20.0,1,5
154,138,141,950,106.03,20.0,1,5
155,141,138,950,106.03,20.0,1,5
156,139,142,950,21.39,20.0,1,5
157,139,143,950,20.71,20.0,1,4
158,144,145,950,105.53,20.0,1,4
159,145,144,950,105.53,20.0,1,4
160,144,146,950,84.27,20.0,1,5
161,146,144,950,84.27,20.0,1,5
162,147,148,9900,176.78,60.0,3,1
163,144,149,950,146.11,20.0,1,5
164,149,144,950,146.11,20.0,1,5
165,144,150,950,105.87,20.0,1,4
166,150,144,950,105.87,20.0,1,4
167,149,151,950,146.86,20.0,1,5
168,151,149,950,146.86,20.0,1,5
173,151,152,950,146.27,20.0,1,5
174,152,151,950,146.27,20.0,1,5
175,153,154,950,102.23,20.0,1,5
176,154,153,950,102.23,20.0,1,5
179,152,155,950,146.21,20.0,1,5
180,155,152,950,146.21,20.0,1,5
183,155,156,950,147.06,20.0,1,5
184,156,155,950,147.06,20.0,1,5
185,155,157,950,104.49,20.0,1,5
186,157,155,950,104.49,20.0,1,5
187,155,158,950,106.54,20.0,1,5
188,158,155,950,106.54,20.0,1,5
191,156,159,950,145.82,20.0,1,5
192,159,156,950,145.82,20.0,1,5
193,153,147,9900,334.34,60.0,3,1
196,159,160,950,146.9,20.0,1,5
197,160,159,950,146.9,20.0,1,5
198,161,162,950,44.88,20.0,1,4
199,162,161,950,44.88,20.0,1,4
200,153,163,950,104.0,20.0,1,5
201,163,153,950,104.0,20.0,1,5
202,161,164,950,60.88,20.0,1,4
203,164,161,950,60.88,20.0,1,4
204,165,166,950,48.54,20.0,1,4
205,166,165,950,48.54,20.0,1,4
206,165,167,950,40.13,20.0,1,4
207,167,165,950,40.13,20.0,1,4
208,153,168,950,79.37,20.0,1,4
209,168,153,950,79.37,20.0,1,4
210,169,170,950,45.71,20.0,1,5
211,170,169,950,45.71,20.0,1,5
212,169,171,950,64.04,20.0,1,5
213,171,169,950,64.04,20.0,1,5
214,172,173,9900,234.29,60.0,3,1
215,174,175,950,36.63,20.0,1,5
216,175,174,950,36.63,20.0,1,5
217,174,176,950,82.69,20.0,1,5
218,176,174,950,82.69,20.0,1,5
219,177,178,950,52.52,20.0,1,5
220,178,177,950,52.52,20.0,1,5
221,177,175,950,31.74,20.0,1,5
222,175,177,950,31.74,20.0,1,5
223,172,179,9900,464.08,60.0,3,1
224,180,181,950,74.12,20.0,1,5
225,182,183,950,19.09,20.0,1,5
226,182,184,950,69.73,20.0,1,5
227,185,182,950,94.04,20.0,1,5
228,186,187,950,103.16,20.0,1,5
229,187,186,950,103.16,20.0,1,5
230,181,185,950,79.34,20.0,1,5
231,188,180,950,71.02,20.0,1,5
232,189,190,950,18.51,20.0,1,4
233,190,189,950,18.51,20.0,1,4
234,189,188,950,179.98,20.0,1,5
235,189,191,950,205.7,20.0,1,4
236,191,189,950,205.7,20.0,1,4
237,186,192,950,35.73,20.0,1,5
