from_node,to_node,length,zone,fire_prob
8.0,10.0,94.88,3,1.0
10.0,822.0,107.88,3,1.0
10.0,2145.0,256.75,3,1.0
28.0,2126.0,93.41,3,1.0
1261.0,1262.0,133.18,3,1.0
1261.0,1263.0,133.11,3,1.0
1262.0,3559.0,139.81,3,1.0
1263.0,4053.0,125.68,3,1.0
1263.0,4054.0,104.8,3,1.0
1263.0,2127.0,101.76,3,1.0
1703.0,1704.0,99.96,3,1.0
1703.0,1705.0,106.22,3,1.0
1704.0,2146.0,356.89,3,1.0
2125.0,2126.0,119.17,3,1.0
2125.0,2127.0,105.07,3,1.0
2145.0,2146.0,191.32,3,1.0
2146.0,3788.0,131.23,3,1.0
2146.0,4055.0,208.09,3,1.0
2146.0,8080.0,153.6,3,1.0
2826.0,2827.0,105.65,3,1.0
2826.0,2828.0,109.26,3,1.0
2827.0,4054.0,105.76,3,1.0
3559.0,5251.0,104.85,3,1.0
3559.0,4051.0,138.38,3,1.0
3559.0,5257.0,101.7,3,1.0
3787.0,3788.0,275.24,3,1.0
3787.0,8389.0,138.84,3,1.0
3789.0,8080.0,275.1,3,1.0
4053.0,4055.0,180.5,3,1.0
