node_id,distance_to_zone3,ros,fire_prob,zone
1949.0,0.0,0.1,1.0,3
2444.0,0.0,0.1,1.0,3
2475.0,0.0,0.1,1.0,3
2597.0,0.0,0.1,1.0,3
2598.0,0.0,0.1,1.0,3
2599.0,0.0,0.1,1.0,3
2600.0,0.0,0.1,1.0,3
2601.0,0.0,0.1,1.0,3
2602.0,0.0,0.1,1.0,3
2603.0,0.0,0.1,1.0,3
2604.0,0.0,0.1,1.0,3
2724.0,0.0,0.1,1.0,3
2729.0,0.0,0.1,1.0,3
3338.0,0.0,0.1,1.0,3
3339.0,0.0,0.1,1.0,3
3340.0,0.0,0.1,1.0,3
3680.0,0.0,0.1,1.0,3
5570.0,0.0,0.1,1.0,3
5573.0,0.0,0.1,1.0,3
7169.0,0.0,0.1,1.0,3
7177.0,0.0,0.1,1.0,3
7248.0,0.0,0.1,1.0,3
7249.0,0.0,0.1,1.0,3
7250.0,0.0,0.1,1.0,3
7251.0,0.0,0.1,1.0,3
7253.0,0.0,0.1,1.0,3
0.0,3333.78,1.686,0.000506,2
1.0,2923.4700000000003,1.686,0.000577,2
2.0,6608.8499999999985,1.686,0.000255,2
3.0,6476.169999999999,1.686,0.00026,2
4.0,6659.039999999998,1.686,0.000253,2
5.0,2916.95,1.686,0.000578,2
6.0,3040.7700000000004,1.686,0.000554,2
7.0,2620.7,1.686,0.000643,2
8.0,15221.970000000003,1.686,0.000111,1
9.0,15120.380000000003,1.686,0.000112,1
10.0,15026.680000000002,1.686,0.000112,1
11.0,16014.660000000002,1.686,0.000105,1
12.0,16153.410000000002,1.686,0.000104,1
13.0,15812.630000000003,1.686,0.000107,1
14.0,13610.44,1.686,0.000124,1
15.0,13620.1,1.686,0.000124,1
16.0,13506.039999999999,1.686,0.000125,1
17.0,8737.850000000002,1.686,0.000193,2
18.0,8747.390000000001,1.686,0.000193,2
19.0,8592.420000000002,1.686,0.000196,2
20.0,16283.540000000003,1.686,0.000104,1
21.0,16247.100000000002,1.686,0.000104,1
22.0,16202.210000000003,1.686,0.000104,1
23.0,18702.16999999999,1.686,9e-05,1
24.0,18793.859999999993,1.686,9e-05,1
25.0,18621.51999999999,1.686,9.1e-05,1
26.0,11397.5,1.686,0.000148,1
27.0,11243.04,1.686,0.00015,1
28.0,11516.87,1.686,0.000146,1
29.0,9148.490000000003,1.686,0.000184,2
30.0,8914.940000000002,1.686,0.000189,2
31.0,19672.929999999993,1.686,8.6e-05,1
32.0,19771.789999999994,1.686,8.5e-05,1
33.0,19562.619999999995,1.686,8.6e-05,1
34.0,19356.229999999992,1.686,8.7e-05,1
35.0,19267.029999999995,1.686,8.8e-05,1
36.0,14844.300000000001,1.686,0.000114,1
37.0,14796.880000000001,1.686,0.000114,1
38.0,14873.2,1.686,0.000113,1
39.0,15173.060000000003,1.686,0.000111,1
40.0,14981.000000000002,1.686,0.000113,1
41.0,15727.150000000003,1.686,0.000107,1
42.0,15650.810000000003,1.686,0.000108,1
43.0,19372.399999999998,1.686,8.7e-05,1
44.0,19488.389999999996,1.686,8.7e-05,1
45.0,19256.569999999996,1.686,8.8e-05,1
46.0,19225.009999999995,1.686,8.8e-05,1
47.0,19344.479999999996,1.686,8.7e-05,1
48.0,19109.149999999994,1.686,8.8e-05,1
49.0,19140.559999999994,1.686,8.8e-05,1
50.0,19265.929999999993,1.686,8.8e-05,1
51.0,19024.499999999993,1.686,8.9e-05,1
52.0,5590.2699999999995,1.686,0.000302,2
53.0,5390.49,1.686,0.000313,2
54.0,5790.739999999999,1.686,0.000291,2
55.0,1835.62,1.686,0.000918,2
56.0,1636.1799999999998,1.686,0.00103,2
57.0,2760.96,1.686,0.000611,2
58.0,2673.5800000000004,1.686,0.000631,2
59.0,2981.35,1.686,0.000566,2
60.0,8151.270000000001,1.686,0.000207,2
61.0,8088.12,1.686,0.000208,2
62.0,8278.070000000002,1.686,0.000204,2
63.0,6467.12,1.686,0.000261,2
64.0,6153.839999999999,1.686,0.000274,2
65.0,17108.53,1.686,9.9e-05,1
66.0,17221.12,1.686,9.8e-05,1
67.0,8500.830000000002,1.686,0.000198,2
68.0,8331.490000000002,1.686,0.000202,2
69.0,17006.239999999998,1.686,9.9e-05,1
70.0,17844.549999999996,1.686,9.4e-05,1
71.0,17944.929999999997,1.686,9.4e-05,1
72.0,17740.989999999998,1.686,9.5e-05,1
73.0,6659.24,1.686,0.000253,2
74.0,11937.910000000002,1.686,0.000141,1
75.0,12184.6,1.686,0.000138,1
76.0,11799.04,1.686,0.000143,1
77.0,13220.93,1.686,0.000128,1
78.0,13035.52,1.686,0.000129,1
79.0,17050.859999999997,1.686,9.9e-05,1
80.0,16957.89,1.686,9.9e-05,1
81.0,17121.469999999998,1.686,9.8e-05,1
82.0,18045.479999999996,1.686,9.3e-05,1
83.0,17946.279999999995,1.686,9.4e-05,1
84.0,18162.619999999995,1.686,9.3e-05,1
85.0,17652.07,1.686,9.6e-05,1
86.0,17551.35,1.686,9.6e-05,1
87.0,13702.460000000001,1.686,0.000123,1
88.0,13673.230000000001,1.686,0.000123,1
89.0,13859.830000000002,1.686,0.000122,1
90.0,20276.91999999999,1.686,8.3e-05,1
91.0,20355.83999999999,1.686,8.3e-05,1
92.0,20434.91999999999,1.686,8.3e-05,1
93.0,20522.28999999999,1.686,8.2e-05,1
94.0,20599.419999999987,1.686,8.2e-05,1
95.0,22917.08999999999,1.686,7.4e-05,1
96.0,22921.979999999992,1.686,7.4e-05,1
97.0,23341.639999999992,1.686,7.2e-05,1
98.0,23120.66999999999,1.686,7.3e-05,1
99.0,23227.98999999999,1.686,7.3e-05,1
100.0,23278.609999999993,1.686,7.2e-05,1
101.0,23238.48999999999,1.686,7.3e-05,1
102.0,23319.459999999992,1.686,7.2e-05,1
103.0,23115.68999999999,1.686,7.3e-05,1
104.0,22837.52999999999,1.686,7.4e-05,1
105.0,22655.359999999993,1.686,7.4e-05,1
106.0,22483.48999999999,1.686,7.5e-05,1
107.0,22515.25999999999,1.686,7.5e-05,1
108.0,22577.50999999999,1.686,7.5e-05,1
109.0,22436.84999999999,1.686,7.5e-05,1
110.0,22526.31999999999,1.686,7.5e-05,1
111.0,22498.51999999999,1.686,7.5e-05,1
112.0,22418.89999999999,1.686,7.5e-05,1
113.0,21864.999999999993,1.686,7.7e-05,1
114.0,21685.519999999993,1.686,7.8e-05,1
115.0,21942.289999999994,1.686,7.7e-05,1
116.0,21639.099999999995,1.686,7.8e-05,1
117.0,21537.589999999993,1.686,7.8e-05,1
118.0,21102.459999999992,1.686,8e-05,1
119.0,21108.85999999999,1.686,8e-05,1
120.0,21178.93999999999,1.686,8e-05,1
121.0,21190.98999999999,1.686,8e-05,1
122.0,21179.00999999999,1.686,8e-05,1
123.0,21004.75999999999,1.686,8e-05,1
124.0,21114.819999999992,1.686,8e-05,1
125.0,20922.389999999992,1.686,8.1e-05,1
126.0,20843.59999999999,1.686,8.1e-05,1
127.0,19962.84999999999,1.686,8.4e-05,1
128.0,19942.769999999993,1.686,8.5e-05,1
129.0,19823.319999999992,1.686,8.5e-05,1
130.0,20031.02999999999,1.686,8.4e-05,1
131.0,20099.87999999999,1.686,8.4e-05,1
132.0,20080.61999999999,1.686,8.4e-05,1
133.0,20093.98999999999,1.686,8.4e-05,1
134.0,20138.52999999999,1.686,8.4e-05,1
135.0,20202.66999999999,1.686,8.3e-05,1
136.0,20255.229999999992,1.686,8.3e-05,1
137.0,6410.2699999999995,1.686,0.000263,2
138.0,6286.919999999999,1.686,0.000268,2
139.0,6782.259999999999,1.686,0.000249,2
140.0,7081.709999999998,1.686,0.000238,2
141.0,7327.819999999998,1.686,0.00023,2
142.0,7002.969999999998,1.686,0.000241,2
143.0,8368.749999999998,1.686,0.000201,2
144.0,8458.869999999995,1.686,0.000199,2
145.0,11191.340000000002,1.686,0.000151,1
146.0,11110.44,1.686,0.000152,1
147.0,11229.770000000002,1.686,0.00015,1
148.0,11031.380000000001,1.686,0.000153,1
149.0,10970.740000000002,1.686,0.000154,1
150.0,10915.19,1.686,0.000154,1
151.0,10865.02,1.686,0.000155,2
152.0,10463.130000000003,1.686,0.000161,2
153.0,10125.630000000003,1.686,0.000167,2
154.0,9946.140000000005,1.686,0.00017,2
155.0,9847.380000000005,1.686,0.000171,2
156.0,10038.790000000003,1.686,0.000168,2
157.0,9711.790000000005,1.686,0.000174,2
158.0,9302.850000000002,1.686,0.000181,2
159.0,11683.640000000003,1.686,0.000144,1
160.0,11595.110000000002,1.686,0.000145,1
161.0,11632.800000000003,1.686,0.000145,1
162.0,11931.680000000002,1.686,0.000141,1
163.0,11354.430000000002,1.686,0.000148,1
