from_node,to_node,length,zone,fire_prob
1949.0,2724.0,102.3,3,1.0
2444.0,2597.0,195.42,3,1.0
2475.0,3680.0,103.55,3,1.0
2597.0,2599.0,141.79,3,1.0
2598.0,2599.0,54.24,3,1.0
2598.0,2600.0,197.05,3,1.0
2600.0,2601.0,56.2,3,1.0
2600.0,2602.0,10.22,3,1.0
2600.0,2603.0,196.17,3,1.0
2601.0,3339.0,89.65,3,1.0
2602.0,7169.0,52.97,3,1.0
2602.0,7249.0,195.92,3,1.0
2602.0,7251.0,151.8,3,1.0
2603.0,2604.0,196.16,3,1.0
2604.0,5573.0,397.73,3,1.0
2724.0,2729.0,58.34,3,1.0
2729.0,7169.0,86.58,3,1.0
3338.0,3339.0,55.78,3,1.0
3338.0,3340.0,203.93,3,1.0
3340.0,3680.0,102.09,3,1.0
5570.0,5573.0,172.97,3,1.0
5573.0,7177.0,16.05,3,1.0
7177.0,7248.0,397.24,3,1.0
7248.0,7249.0,196.42,3,1.0
7250.0,7251.0,46.0,3,1.0
7250.0,7253.0,195.59,3,1.0
