Link_ID,From_Node_ID,To_Node_ID,Capacity,Length,Free_Speed,Lanes,Link_Type
0,0,1,9900,547.3,60.0,3,1
1,0,2,9900,688.48,60.0,3,1
2,3,4,9900,357.05,60.0,3,1
3,5,6,5400,29.57,40.0,2,3
4,7,8,950,95.32,20.0,1,4
5,8,7,950,95.32,20.0,1,4
6,9,10,950,80.65,20.0,1,4
7,10,9,950,80.65,20.0,1,4
8,9,11,950,50.17,20.0,1,4
9,11,9,950,50.17,20.0,1,4
10,7,12,9900,39.99,60.0,3,1
11,12,7,9900,39.99,60.0,3,1
12,13,14,5400,79.57,40.0,2,3
13,7,15,950,201.14,20.0,1,4
14,15,7,950,201.14,20.0,1,4
15,16,17,950,76.08,20.0,1,5
16,17,16,950,76.08,20.0,1,5
17,16,18,950,77.01,20.0,1,5
18,18,16,950,77.01,20.0,1,5
19,18,19,950,75.56,20.0,1,5
20,19,18,950,75.56,20.0,1,5
23,20,21,950,59.34,20.0,1,5
24,21,20,950,59.34,20.0,1,5
25,20,22,950,34.46,20.0,1,5
26,22,20,950,34.46,20.0,1,5
27,20,23,950,15.59,20.0,1,5
28,23,20,950,15.59,20.0,1,5
29,20,24,950,199.65,20.0,1,5
30,24,20,950,199.65,20.0,1,5
31,21,25,950,27.7,20.0,1,5
32,25,21,950,27.7,20.0,1,5
37,25,26,950,48.69,20.0,1,5
38,26,25,950,48.69,20.0,1,5
39,27,28,950,35.75,20.0,1,5
40,28,27,950,35.75,20.0,1,5
41,27,29,950,44.02,20.0,1,5
42,29,27,950,44.02,20.0,1,5
45,28,30,950,38.45,20.0,1,5
46,30,28,950,38.45,20.0,1,5
47,30,31,950,40.31,20.0,1,5
48,31,30,950,40.31,20.0,1,5
53,31,32,950,36.38,20.0,1,5
54,32,31,950,36.38,20.0,1,5
57,32,33,950,37.19,20.0,1,5
58,33,32,950,37.19,20.0,1,5
59,33,34,950,198.77,20.0,1,4
60,33,35,950,80.31,20.0,1,4
61,35,33,950,80.31,20.0,1,4
62,33,36,950,39.48,20.0,1,5
63,36,33,950,39.48,20.0,1,5
66,37,36,950,80.45,20.0,1,5
67,36,37,950,80.45,20.0,1,5
68,37,38,950,81.8,20.0,1,5
69,38,37,950,81.8,20.0,1,5
70,38,39,950,79.81,20.0,1,5
71,39,38,950,79.81,20.0,1,5
74,39,40,950,80.74,20.0,1,5
75,40,39,950,80.74,20.0,1,5
80,40,41,950,40.45,20.0,1,5
