from_node,to_node,length,zone,fire_prob
161.0,162.0,491.62,3,1.0
161.0,902.0,245.61,3,1.0
161.0,923.0,15.02,3,1.0
463.0,464.0,297.5,3,1.0
463.0,527.0,250.11,3,1.0
463.0,3354.0,1222.27,3,1.0
527.0,645.0,496.37,3,1.0
527.0,679.0,631.29,3,1.0
645.0,725.0,221.43,3,1.0
645.0,765.0,211.86,3,1.0
679.0,1001.0,468.51,3,1.0
679.0,1078.0,93.8,3,1.0
725.0,5334.0,37.76,3,1.0
725.0,798.0,47.8,3,1.0
725.0,902.0,51.77,3,1.0
725.0,799.0,133.83,3,1.0
765.0,1001.0,390.64,3,1.0
765.0,923.0,187.26,3,1.0
798.0,799.0,87.88,3,1.0
798.0,6083.0,45.23,3,1.0
799.0,4585.0,14.16,3,1.0
902.0,5334.0,25.83,3,1.0
922.0,923.0,525.37,3,1.0
922.0,949.0,331.02,3,1.0
922.0,5886.0,667.72,3,1.0
949.0,1249.0,431.91,3,1.0
949.0,1633.0,649.41,3,1.0
1001.0,1212.0,223.98,3,1.0
1078.0,4516.0,501.68,3,1.0
1078.0,6433.0,397.54,3,1.0
1166.0,1211.0,28.1,3,1.0
1211.0,1212.0,308.15,3,1.0
1211.0,2792.0,43.8,3,1.0
1212.0,1249.0,337.34,3,1.0
1249.0,1690.0,204.49,3,1.0
5334.0,5335.0,109.1,3,1.0
5334.0,6084.0,19.6,3,1.0
5886.0,5887.0,29.1,3,1.0
5886.0,6385.0,221.23,3,1.0
