from_node,to_node,length,zone,fire_prob
582.0,583.0,143.43,3,1.0
583.0,3009.0,27.85,3,1.0
1128.0,1129.0,13.18,3,1.0
1128.0,1132.0,14.42,3,1.0
1129.0,3237.0,68.05,3,1.0
1129.0,1133.0,122.4,3,1.0
1129.0,3249.0,38.71,3,1.0
1132.0,3245.0,17.43,3,1.0
1132.0,3249.0,27.45,3,1.0
1133.0,4243.0,151.16,3,1.0
1137.0,4243.0,208.07,3,1.0
2081.0,3032.0,118.81,3,1.0
2082.0,3031.0,21.47,3,1.0
3009.0,3020.0,220.32,3,1.0
3009.0,3015.0,583.26,3,1.0
3013.0,3014.0,169.02,3,1.0
3013.0,3015.0,13.11,3,1.0
3013.0,3250.0,52.61,3,1.0
3013.0,4243.0,122.25,3,1.0
3014.0,3031.0,27.53,3,1.0
3014.0,3257.0,18.95,3,1.0
3015.0,3255.0,31.5,3,1.0
3015.0,3032.0,14.59,3,1.0
3015.0,4173.0,579.69,3,1.0
3020.0,3198.0,28.39,3,1.0
3020.0,3199.0,16.02,3,1.0
3020.0,3200.0,32.17,3,1.0
3020.0,3180.0,139.03,3,1.0
3031.0,3032.0,166.49,3,1.0
3032.0,3254.0,66.85,3,1.0
3202.0,4173.0,172.9,3,1.0
3244.0,3245.0,32.08,3,1.0
3244.0,3246.0,60.21,3,1.0
3244.0,3254.0,24.37,3,1.0
3245.0,3247.0,47.73,3,1.0
3247.0,3253.0,25.87,3,1.0
3247.0,3250.0,23.07,3,1.0
3249.0,3250.0,60.17,3,1.0
3250.0,3255.0,24.61,3,1.0
3252.0,4173.0,29.11,3,1.0
3253.0,3254.0,25.43,3,1.0
3253.0,3255.0,14.58,3,1.0
3258.0,4243.0,187.7,3,1.0
